"","ID","YEARSEMESTRE","YEAR","SEMESTRE","DEP_NAC","COD_DEP_NAC","CIU_NAC","COD_CIU_NAC","LON_CIU_NAC","LAT_CIU_NAC","DEP_RES","COD_DEP_RES","CIU_RES","COD_CIU_RES","LON_CIU_RES","LAT_CIU_RES","CODS_NAC","CODN_NAC","NACIONALIDAD","EDAD_MOD","CAT_EDAD","SEXO","ESTRATO_ORIG","ESTRATO","DISCAPACIDAD","TIPO_DISC","MOD_INS","TIPO_INS","PAES","PEAMA","PAET","SNIES_SEDE","INS_SEDE_NOMBRE","PTOTAL","ADMITIDO","ADM_SEDE_NOMBRE","ADM_ANDINA_PEAMA","FACULTAD","FACULTAD_S","SNIES_PROGRA","PROGRAMA","PROGRAMA_S","AREAC_SNIES","CA_CINE","CD_CINE","AREA_CINE","TIPO_NIVEL","NIVEL","SNIES_UNIVERSIDAD","NOMBRE_UNIVERSIDAD","TITULOUNIVERSITARIO","MODALIDAD","ANNO_TERMINACION","RANGO_ANO_TERMINACION","TIPO_DOC","NOMBRE","COD_PADRE","PROGRAMA_2","ESTADO"
"1","32417",20192,2019,2,"HUILA",41,"PITALITO",41551,-76.0404004061,1.85414505113,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"COL",170,"Colombiana",17,"17 años o menos","Mujeres","Estrato 3","Estrato 3","No",NA,"Regular","Regular",NA,NA,NA,1101,"Bogotá",469.4725,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"2","1124313524",20241,2024,1,"PUTUMAYO",86,"SIBUNDOY",86749,-76.9212871804,1.2030862151,"PUTUMAYO",86,"SIBUNDOY",86749,-76.9212871804,1.2030862151,"COL",170,"Colombiana",16,"17 años o menos","Mujeres","Estrato 1","Estrato 2 o menos","No",NA,"Especial","PAET",NA,NA,NA,NA,"Universidad",355.7152,"No",NA,NA,"PAET-NA",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información","TI","LINA SOFIA JURADO PANTOJA",NA,NA,NA
"3","3460",20192,2019,2,"ATLÁNTICO",8,"BARRANQUILLA",8001,-74.8187880943,10.9796493947,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"COL",170,"Colombiana",21,"21 a 25 años","Mujeres","Estrato 3","Estrato 3","No",NA,"Regular","Regular",NA,NA,NA,1101,"Bogotá",568.9452,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"4","66646",20171,2017,1,"SANTANDER",68,"PUENTE NACIONAL",68572,-73.6775097519,5.87819149232,"SANTANDER",68,"PUENTE NACIONAL",68572,-73.6775097519,5.87819149232,"COL",170,"Colombiana",16.31,"17 años o menos","Mujeres","Estrato 2","Estrato 2 o menos","No","No Aplica","Regular","Regular",NA,NA,NA,1101,"Bogotá",460.0405,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"5","6459",20161,2016,1,"ANTIOQUIA",5,"MEDELLÍN",5001,-75.5770556256,6.24894080956,"ANTIOQUIA",5,"MEDELLÍN",5001,-75.5770556256,6.24894080956,"COL",170,"Colombiana",17.16,"17 años o menos","Mujeres","Estrato 5","Estrato 4 o más","No","No aplica","Regular","Regular",NA,NA,NA,1102,"Medellín",554.0014,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"6","36805",20192,2019,2,"RISARALDA",66,"DOSQUEBRADAS",66170,-75.675182816,4.83463403327,"RISARALDA",66,"DOSQUEBRADAS",66170,-75.675182816,4.83463403327,"COL",170,"Colombiana",20,"18 a 20 años","Mujeres","Estrato 3","Estrato 3","No",NA,"Regular","Regular",NA,NA,NA,1102,"Medellín",533.3622,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"7","16622",20092,2009,2,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,NA,NA,"Sin información",17.9527777777778,"17 años o menos","Hombres","Estrato 3","Estrato 3","No","No Aplica","Regular","Regular",NA,NA,NA,1101,"Bogotá",629.75,"Sí","Bogotá",NA,"Ciencias","Ciencias - Bogotá",34,"Geología","Geología - Bogotá","Matemáticas y ciencias naturales",5,532,"Ciencias naturales, matemáticas y estadística","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,34,"Geología","Activo"
"8","27444",20201,2020,1,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"COL",170,"Colombiana",16,"17 años o menos","Hombres","Estrato 2","Estrato 2 o menos","No",NA,"Regular","Regular",NA,NA,NA,1101,"Bogotá",448.6344,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
"9","41648",20221,2022,1,"RISARALDA",66,"PEREIRA",66001,-75.7155099202,4.80888773215,"RISARALDA",66,"PEREIRA",66001,-75.7155099202,4.80888773215,"COL",170,"Colombiana",17,"17 años o menos","Mujeres","Estrato 4","Estrato 4 o más","No",NA,"Regular","Regular",NA,NA,NA,1103,"Manizales",714.6018,"Sí","Manizales",NA,"Ingeniería y arquitectura","Ingeniería y arquitectura - Manizales",4125,"Ingeniería química","Ingeniería química - Manizales","Ingeniería, arquitectura, urbanismo y afines",7,711,"Ingeniería, industria y construcción","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,4125,"Ingeniería Química","Activo"
"10","26463",20151,2015,1,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"BOGOTÁ, D. C.",11,"BOGOTÁ, D.C.",11001,-74.1139187163,4.62457504964,"COL",170,"Colombiana",19.1555555555556,"18 a 20 años","Mujeres","Estrato 3","Estrato 3","No","No aplica","Regular","Regular",NA,NA,NA,1101,"Bogotá",457.4435,"No",NA,NA,"Sin información",NA,NA,NA,NA,"Sin información",NA,NA,"Sin información","Pregrado","Pregrado",NA,NA,NA,"Sin información",NA,"Sin información",NA,NA,NA,NA,NA
